ref_a,ref_b
ref-m-551580,ref-sifra-130192
ref-m-551580,ref-sifra-130107
ref-m-553599,ref-sifra-126507
ref-m-553599,ref-sifra-126507
ref-m-555206,ref-sifra-123840
ref-m-557525,ref-sifra-156678
ref-m-557525,ref-b-3377811
ref-m-557942,ref-t-958352
ref-m-559492,ref-b-5437435
ref-m-559492,ref-b-5978907
ref-m-559809,ref-y-3397884
ref-m-559809,ref-y-3397884
ref-m-561892,ref-t-962884
ref-m-562811,ref-b-5418181
ref-m-562811,ref-b-5418181
ref-m-564635,ref-b-397660
ref-m-564938,ref-b-397166
ref-m-565246,ref-t-965789
ref-m-567564,ref-b-1575030
ref-m-567564,ref-b-2754406
ref-m-567564,ref-b-5548729
ref-m-567564,ref-b-8118039
ref-m-567886,ref-b-2832652
ref-m-569513,ref-b-720682
ref-m-569513,ref-y-1045624
ref-m-572107,ref-t-969683
ref-m-572107,ref-t-969683
ref-m-574679,ref-y-161958
ref-m-575695,ref-b-3004538
ref-m-576329,ref-y-3206247
ref-m-576338,ref-y-2231112
ref-m-577909,ref-t-972863
ref-m-578591,ref-b-97871
ref-m-578591,ref-sifre-n-14155
ref-m-579434,ref-b-8524763
ref-m-579451,ref-b-141437
ref-m-583696,ref-y-2394221
ref-m-583747,ref-b-3332348
ref-m-584489,ref-b-2529895
ref-m-584489,ref-b-7100716
ref-m-584888,ref-b-4635277
ref-m-584945,ref-b-4635277
ref-m-589141,ref-t-1423177
ref-m-591415,ref-b-634140
ref-m-591691,ref-sifre-d-107725
ref-m-592464,ref-t-997786
ref-m-592647,ref-b-1352596
ref-m-592647,ref-b-6675773
ref-m-594063,ref-t-997127
ref-m-594063,ref-b-6697881
ref-m-594415,ref-b-6700997
ref-m-595335,ref-t-1001436
ref-m-595368,ref-b-6710459
ref-m-595649,ref-b-6722803
ref-m-596630,ref-b-6732951
ref-m-596645,ref-b-6732951
ref-m-597513,ref-b-8316660
ref-m-605307,ref-mek-281106
ref-m-608168,ref-bible-898398
ref-m-612772,ref-b-1736680
ref-m-612998,ref-b-1736863
ref-m-619834,ref-sifre-d-95780
ref-m-620242,ref-t-920720
ref-m-620242,ref-y-3311211
ref-m-622291,ref-sifra-117473
ref-m-622356,ref-b-6760516
ref-m-623071,ref-t-1007467
ref-m-623208,ref-b-6762940
ref-m-623208,ref-b-6762940
ref-m-623208,ref-sifra-103391
ref-m-623444,ref-sifra-102641
ref-m-625810,ref-b-2864224
ref-m-625924,ref-b-6783936
ref-m-627159,ref-t-1052034
ref-m-627159,ref-t-1052034
ref-m-627414,ref-t-1012228
ref-m-627619,ref-t-1013010
ref-m-628559,ref-b-6813130
ref-m-628760,ref-sifra-202439
ref-m-628760,ref-sifra-202439
ref-m-629031,ref-t-1024542
ref-m-629031,ref-y-1338820
ref-m-630356,ref-b-6900897
ref-m-631145,ref-b-6889276
ref-m-633038,ref-b-6934941
ref-m-633582,ref-t-1034134
ref-m-633582,ref-b-6813560
ref-m-633588,ref-sifra-74773
ref-m-633588,ref-sifra-74773
ref-m-633588,ref-b-6813560
ref-m-636494,ref-b-7442569
ref-m-637442,ref-t-1040809
ref-m-637843,ref-b-6900897
ref-m-638600,ref-t-1041547
ref-m-638617,ref-t-1041547
ref-m-639626,ref-b-6954775
ref-m-639626,ref-b-6954775
ref-m-639810,ref-sifra-469777
ref-m-639810,ref-sifra-469765
ref-m-641285,ref-b-1866079
ref-m-641299,ref-b-1866079
ref-m-642025,ref-t-1047740
ref-m-642025,ref-b-1249813
ref-m-642025,ref-b-2334154
ref-m-642025,ref-b-2334154
ref-m-642025,ref-y-1222128
ref-m-642025,ref-t-1047740
ref-m-642025,ref-b-1249813
ref-m-642025,ref-y-1222128
ref-m-642025,ref-b-1250044
ref-m-642025,ref-b-1250044
ref-m-642732,ref-sifra-184779
ref-m-642774,ref-y-1341954
ref-m-643271,ref-b-6062755
ref-m-643311,ref-sifra-162438
ref-m-643311,ref-sifra-162438
ref-m-644241,ref-sifra-163658
ref-m-644606,ref-sifra-31664
ref-m-644956,ref-t-1051735
ref-m-644956,ref-sifra-163997
ref-m-646344,ref-t-1053400
ref-m-646344,ref-t-1053400
ref-m-646344,ref-y-505881
ref-m-647406,ref-t-1054298
ref-m-647775,ref-sifra-181907
ref-m-647883,ref-sifra-181907
ref-m-648358,ref-sifra-182979
ref-m-648358,ref-sifra-182979
ref-m-648990,ref-sifra-219107
ref-m-649361,ref-sifra-189306
ref-m-649361,ref-sifra-189306
ref-m-649361,ref-b-7086573
ref-m-649930,ref-y-1467665
ref-m-649930,ref-y-1467665
ref-m-650284,ref-sifra-463278
ref-m-650284,ref-sifra-463278
ref-m-650284,ref-b-7791954
ref-m-651157,ref-t-1059794
ref-m-652084,ref-t-1060932
ref-m-652084,ref-t-1060941
ref-m-653781,ref-b-6253440
ref-m-653985,ref-t-1063352
ref-m-653985,ref-t-1063352
ref-m-654618,ref-t-1064314
ref-m-654618,ref-t-1064322
ref-m-655599,ref-t-1116056
ref-m-655599,ref-t-1024542
ref-m-655599,ref-y-1338820
ref-m-656052,ref-t-1113531
ref-m-656052,ref-t-1113531
ref-m-656075,ref-t-1103208
ref-m-656574,ref-t-1104231
ref-m-659570,ref-sifra-50314
ref-m-659965,ref-y-1332577
ref-m-660269,ref-b-7219472
ref-m-661451,ref-t-1120775
ref-m-661495,ref-sifra-584307
ref-m-661918,ref-t-1122149
ref-m-661918,ref-b-7294350
ref-m-661918,ref-sifre-n-255331
ref-m-661918,ref-sifre-n-255331
ref-m-661918,ref-t-1122149
ref-m-662774,ref-sifra-581766
ref-m-664089,ref-b-2061980
ref-m-664089,ref-b-2061980
ref-m-664398,ref-t-1128501
ref-m-664468,ref-b-7332653
ref-m-664468,ref-b-7332653
ref-m-664711,ref-sifra-56532
ref-m-664711,ref-sifra-56532
ref-m-665761,ref-sifra-55857
ref-m-667414,ref-t-1129770
ref-m-668180,ref-sifra-193506
ref-m-668180,ref-sifre-d-164990
ref-m-668393,ref-t-1132756
ref-m-668439,ref-t-1132751
ref-m-668647,ref-y-1523103
ref-m-668674,ref-t-1133314
ref-m-668674,ref-t-1133314
ref-m-669777,ref-b-7406233
ref-m-670105,ref-sifra-602487
ref-m-670950,ref-t-1135145
ref-m-671537,ref-t-1137984
ref-m-672216,ref-sifre-n-153610
ref-m-673472,ref-t-1140761
ref-m-674082,ref-t-1141646
ref-m-674082,ref-t-1141646
ref-m-674585,ref-t-1142037
ref-m-674585,ref-t-1142037
ref-m-674585,ref-sifra-578583
ref-m-677510,ref-sifra-605251
ref-m-677754,ref-b-7449224
ref-m-677754,ref-b-7449224
ref-m-677754,ref-b-8502703
ref-m-677754,ref-b-8502703
ref-m-677998,ref-b-832390
ref-m-678563,ref-t-1147845
ref-m-679120,ref-b-1419764
ref-m-679520,ref-b-7142019
ref-m-680137,ref-sifra-46790
ref-m-680137,ref-b-3785874
ref-m-680331,ref-t-1149763
ref-m-680601,ref-b-7463655
ref-m-680622,ref-t-1150211
ref-m-680894,ref-sifra-45770
ref-m-682666,ref-b-7475059
ref-m-682666,ref-b-7475059
ref-m-682820,ref-t-1152885
ref-m-683202,ref-t-1153081
ref-m-683710,ref-sifra-43472
ref-m-683710,ref-sifra-43472
ref-m-684026,ref-t-1068417
ref-m-684819,ref-t-1070637
ref-m-686351,ref-t-1072906
ref-m-688099,ref-t-1076815
ref-m-688265,ref-sifra-263879
ref-m-688913,ref-sifra-264420
ref-m-689529,ref-t-1080424
ref-m-689657,ref-b-7661865
ref-m-690776,ref-t-1083243
ref-m-690943,ref-t-1083597
ref-m-690943,ref-b-7704923
ref-m-690950,ref-sifra-302331
ref-m-690950,ref-sifra-302331
ref-m-693161,ref-sifra-568569
ref-m-693161,ref-sifra-568569
ref-m-693442,ref-sifra-568277
ref-m-693611,ref-t-1086109
ref-m-693611,ref-b-6519389
ref-m-693619,ref-sifra-568856
ref-m-693619,ref-b-1195929
ref-m-694191,ref-sifra-569583
ref-m-695060,ref-b-7748094
ref-m-695060,ref-sifra-466518
ref-m-696396,ref-t-1089853
ref-m-697887,ref-sifre-d-141873
ref-m-697887,ref-mek-377394
ref-m-697887,ref-mek-377394
ref-m-697887,ref-sifre-d-141873
ref-m-697887,ref-b-817795
ref-m-698180,ref-t-1092837
ref-m-698911,ref-y-1344775
ref-m-700875,ref-b-8336200
ref-m-701492,ref-t-1095187
ref-m-702291,ref-t-1097243
ref-m-702291,ref-t-1097243
ref-m-703325,ref-sifre-d-227817
ref-m-703447,ref-sifre-d-228139
ref-m-703801,ref-t-1099015
ref-m-703801,ref-t-1099015
ref-m-703819,ref-sifre-d-229682
ref-m-704102,ref-t-1155732
ref-m-704475,ref-t-1156661
ref-m-704475,ref-t-1156661
ref-m-704693,ref-t-1158704
ref-m-706032,ref-t-1155732
ref-m-706264,ref-b-8336200
ref-m-706886,ref-t-1160444
ref-m-706886,ref-t-1160444
ref-m-706886,ref-mek-78987
ref-m-707048,ref-t-1160916
ref-m-707345,ref-t-1160916
ref-m-707653,ref-t-1160916
ref-m-708585,ref-t-1161879
ref-m-708756,ref-b-7999657
ref-m-708756,ref-b-7999657
ref-m-709223,ref-b-8006371
ref-m-710125,ref-b-6058297
ref-m-710132,ref-b-6058297
ref-m-710598,ref-t-1164140
ref-m-711190,ref-t-1164761
ref-m-711640,ref-y-616794
ref-m-711660,ref-y-1242743
ref-m-711660,ref-sifra-561958
ref-m-712377,ref-y-335459
ref-m-713556,ref-b-8047131
ref-m-713805,ref-sifra-562448
ref-m-713805,ref-sifra-562448
ref-m-714028,ref-t-1168211
ref-m-714134,ref-b-8052488
ref-m-714624,ref-t-1168973
ref-m-716047,ref-sifra-542459
ref-m-718339,ref-b-8077503
ref-m-718339,ref-b-8077503
ref-m-719110,ref-t-1173377
ref-m-719630,ref-t-1173377
ref-m-720443,ref-t-1174095
ref-m-720443,ref-y-2369211
ref-m-721358,ref-sifra-683796
ref-m-722688,ref-y-1515358
ref-m-722697,ref-y-1643395
ref-m-723446,ref-t-1178667
ref-m-723460,ref-sifra-684820
ref-m-723460,ref-sifra-684815
ref-m-724246,ref-t-1179865
ref-m-724246,ref-t-1179865
ref-m-724826,ref-t-1180547
ref-m-724826,ref-t-1180547
ref-m-727320,ref-b-8172522
ref-m-727327,ref-sifra-379063
ref-m-728273,ref-sifra-668464
ref-m-728273,ref-sifra-668464
ref-m-728811,ref-b-8178249
ref-m-729129,ref-b-8180470
ref-m-729129,ref-b-8180470
ref-m-729257,ref-b-8181224
ref-m-731102,ref-b-3416741
ref-m-731542,ref-b-4598713
ref-m-731560,ref-b-5765603
ref-m-731839,ref-b-8197111
ref-m-732002,ref-sifra-679024
ref-m-732224,ref-t-1191951
ref-m-732224,ref-sifra-678710
ref-m-732673,ref-sifra-679581
ref-m-732673,ref-sifra-679581
ref-m-732940,ref-t-1192815
ref-m-733232,ref-t-1193070
ref-m-733232,ref-sifra-674394
ref-m-733540,ref-sifra-675390
ref-m-733540,ref-b-5273240
ref-m-733540,ref-b-5273240
ref-m-733540,ref-sifra-675390
ref-m-733540,ref-t-1193593
ref-m-734063,ref-t-1194089
ref-m-734063,ref-t-1194089
ref-m-734063,ref-b-8205914
ref-m-734063,ref-b-8205914
ref-m-734063,ref-sifra-681322
ref-m-734063,ref-sifra-681322
ref-m-734293,ref-t-1195646
ref-m-734293,ref-sifra-682111
ref-m-734293,ref-t-1195646
ref-m-734293,ref-sifra-682111
ref-m-735345,ref-t-1196032
ref-m-735400,ref-sifra-624520
ref-m-735587,ref-b-8212973
ref-m-735587,ref-t-1196568
ref-m-735587,ref-t-1196568
ref-m-736218,ref-b-4331347
ref-m-736218,ref-sifra-631318
ref-m-736218,ref-b-4331347
ref-m-736218,ref-sifra-631318
ref-m-736560,ref-sifra-629625
ref-m-736587,ref-sifra-629625
ref-m-737165,ref-sifra-633291
ref-m-737165,ref-t-1200344
ref-m-737165,ref-t-1200344
ref-m-737165,ref-sifra-633689
ref-m-737772,ref-sifra-671932
ref-m-737772,ref-sifra-671879
ref-m-738222,ref-b-8254331
ref-m-738663,ref-sifra-671416
ref-m-738663,ref-sifra-671416
ref-m-740268,ref-t-1205787
ref-m-741544,ref-t-1206300
ref-m-742027,ref-sifra-33465
ref-m-742809,ref-t-1205570
ref-m-744267,ref-t-869958
ref-m-745019,ref-t-1210782
ref-m-745694,ref-sifre-d-251138
ref-m-746191,ref-t-1213536
ref-m-746191,ref-b-1581873
ref-m-746191,ref-sifra-37175
ref-m-746191,ref-sifre-d-251710
ref-m-746191,ref-sifre-d-251710
ref-m-746593,ref-t-1214068
ref-m-747967,ref-b-3347684
ref-m-749230,ref-b-1270355
ref-m-749230,ref-sifra-315685
ref-m-749431,ref-sifra-315818
ref-m-749431,ref-t-1228012
ref-m-749431,ref-sifra-315818
ref-m-749961,ref-b-5907948
ref-m-749961,ref-sifra-317431
ref-m-750081,ref-sifra-317431
ref-m-750935,ref-t-1229898
ref-m-750935,ref-sifra-317201
ref-m-751990,ref-t-1232531
ref-m-752068,ref-b-3132534
ref-m-752068,ref-b-5097492
ref-m-752068,ref-b-5097492
ref-m-752253,ref-b-598480
ref-m-752742,ref-b-700250
ref-m-752742,ref-b-2942622
ref-m-753474,ref-sifra-89566
ref-m-754048,ref-b-8406729
ref-m-753474,ref-b-8406774
ref-m-754048,ref-sifra-90142
ref-m-754107,ref-b-8406729
ref-m-754107,ref-b-8407114
ref-m-754363,ref-sifra-90476
ref-m-754363,ref-sifra-90476
ref-m-754363,ref-sifra-89566
ref-m-754790,ref-y-986788
ref-m-754790,ref-sifra-90956
ref-m-754790,ref-sifra-90956
ref-m-754790,ref-b-8413208
ref-m-755520,ref-sifra-147701
ref-m-756017,ref-sifra-110852
ref-m-756017,ref-sifra-147701
ref-m-756017,ref-sifra-110852
ref-m-756136,ref-sifra-111288
ref-m-756136,ref-sifra-111288
ref-m-756477,ref-b-8424130
ref-m-756744,ref-sifra-111913
ref-m-756744,ref-sifra-111913
ref-m-757279,ref-sifra-147199
ref-m-758039,ref-y-2095835
ref-m-758039,ref-t-1238153
ref-m-758039,ref-y-2095835
ref-m-758960,ref-t-1239152
ref-m-759562,ref-sifra-152251
ref-m-759970,ref-t-1240540
ref-m-760624,ref-t-1241501
ref-m-761087,ref-b-8454563
ref-m-761087,ref-sifra-137810
ref-m-761087,ref-sifra-137810
ref-m-761087,ref-b-8454563
ref-m-761513,ref-sifra-121303
ref-m-761586,ref-sifra-483958
ref-m-761586,ref-sifra-121566
ref-m-762164,ref-t-1215537
ref-m-762777,ref-t-1216567
ref-m-762777,ref-t-1216567
ref-m-765489,ref-t-1217250
ref-m-765489,ref-b-3818371
ref-m-765489,ref-b-7147488
ref-m-766269,ref-b-5710658
ref-m-766269,ref-sifra-145389
ref-m-766269,ref-sifra-145673
ref-m-766269,ref-b-5710658
ref-m-766269,ref-sifra-145673
ref-m-766269,ref-sifra-145389
ref-m-769197,ref-b-4578294
ref-m-769376,ref-t-1223283
ref-m-770505,ref-t-1224720
ref-m-770742,ref-t-1224720
ref-m-771214,ref-t-1225368
ref-m-773256,ref-b-6989554
ref-m-773952,ref-sifra-30625
ref-m-773952,ref-b-8501524
ref-m-773952,ref-b-8501524
ref-m-774232,ref-b-6975141
ref-m-774562,ref-t-390652
ref-m-774775,ref-b-7452685
ref-m-774917,ref-b-1722519
ref-m-776436,ref-y-1624400
ref-m-779464,ref-b-58469
ref-m-781000,ref-sifra-603055
ref-m-782310,ref-b-7433325
ref-m-783242,ref-b-2342995
ref-m-783603,ref-b-8494404
ref-m-783887,ref-b-8498260
ref-m-784443,ref-b-1730183
ref-m-784443,ref-b-1730183
ref-m-784812,ref-b-1722645
ref-m-784812,ref-b-1722645
ref-m-785127,ref-b-8493639
ref-m-787398,ref-b-1723208
ref-m-787714,ref-y-1623064
ref-m-789022,ref-b-7443057
ref-m-789066,ref-b-7443301
ref-m-789535,ref-b-7443527
ref-m-791713,ref-b-7759330
ref-m-791713,ref-b-8500836
ref-m-794176,ref-b-1830278
ref-m-794784,ref-b-1724713
ref-m-794784,ref-b-7443769
ref-m-795292,ref-b-1729418
ref-m-795292,ref-b-1729418
ref-m-795819,ref-t-501280
ref-m-795292,ref-t-904761
ref-m-798753,ref-sifra-319085
ref-m-799604,ref-b-6997059
ref-m-800190,ref-b-6997614
ref-m-803790,ref-sifra-286270
ref-m-803790,ref-t-1243375
ref-m-804035,ref-sifra-286517
ref-m-804772,ref-t-1244024
ref-m-804772,ref-t-1244024
ref-m-808644,ref-sifra-296503
ref-m-809720,ref-b-7860882
ref-m-809720,ref-sifra-294534
ref-m-810209,ref-sifra-294920
ref-m-810579,ref-sifra-295673
ref-m-810579,ref-sifra-295673
ref-m-810718,ref-t-1253547
ref-m-810726,ref-sifra-295880
ref-m-810726,ref-sifra-295880
ref-m-813500,ref-b-6815254
ref-m-813562,ref-sifra-288755
ref-m-813562,ref-t-1256136
ref-m-815440,ref-y-1978996
ref-m-821328,ref-b-556802
ref-m-821328,ref-b-556802
ref-m-825257,ref-b-2974827
ref-m-826898,ref-t-1277260
ref-m-829288,ref-t-1280663
ref-m-832964,ref-b-7444649
ref-m-832964,ref-b-7444649
ref-m-833494,ref-b-3451142
ref-m-833874,ref-b-8043717
ref-m-834703,ref-t-1286223
ref-m-835246,ref-b-7235796
ref-m-835523,ref-b-501486
ref-m-835523,ref-b-506125
ref-m-835523,ref-y-950642
ref-m-843126,ref-sifra-406239
ref-m-846652,ref-y-1969960
ref-m-846652,ref-y-1969960
ref-m-847267,ref-b-1994968
ref-m-847267,ref-b-4592116
ref-m-847267,ref-b-4592993
ref-m-847267,ref-b-4592993
ref-m-852141,ref-t-1312891
ref-m-852141,ref-b-442258
ref-m-852161,ref-y-927397
ref-m-858650,ref-b-8043305
ref-m-861872,ref-b-2013081
ref-m-862462,ref-b-7867149
ref-m-864306,ref-t-1328928
ref-m-866876,ref-t-1333118
ref-m-867305,ref-b-1156942
ref-m-867305,ref-b-2146044
ref-m-867305,ref-b-2237325
ref-m-867971,ref-t-531655
ref-m-872418,ref-t-1340094
ref-m-874646,ref-t-1341785
ref-m-877115,ref-t-1346673
ref-m-877115,ref-t-1346673
ref-m-877594,ref-b-2016627
ref-m-879322,ref-t-1350682
ref-m-880767,ref-b-2016680
ref-m-882048,ref-t-1353139
ref-m-882048,ref-t-1353139
ref-m-883636,ref-t-1355719
ref-m-883636,ref-b-402178
ref-m-884235,ref-b-3311632
ref-m-884454,ref-b-5764157
ref-m-888780,ref-sifra-325393
ref-m-891193,ref-sifra-320859
ref-m-891568,ref-sifra-327378
ref-m-891959,ref-sifra-333980
ref-m-895395,ref-sifra-326118
ref-m-895407,ref-sifra-326373
ref-m-895407,ref-sifra-326373
ref-m-895407,ref-sifra-326118
ref-m-896053,ref-t-1372205
ref-m-896443,ref-sifra-331647
ref-m-896443,ref-sifra-331647
ref-m-896443,ref-sifra-331647
ref-m-897000,ref-sifra-340636
ref-m-897000,ref-sifra-348924
ref-m-897381,ref-sifra-331354
ref-m-897839,ref-sifra-340894
ref-m-898059,ref-sifra-341360
ref-m-898513,ref-t-1372791
ref-m-899188,ref-b-4472153
ref-m-899188,ref-sifra-324219
ref-m-901186,ref-sifra-324768
ref-m-902230,ref-t-1377137
ref-m-904346,ref-sifra-339248
ref-m-904346,ref-sifra-339248
ref-m-904789,ref-sifra-344798
ref-m-904789,ref-sifra-344798
ref-m-905150,ref-sifra-345536
ref-m-905232,ref-sifra-345965
ref-m-905638,ref-sifra-346610
ref-m-905881,ref-sifra-348924
ref-m-905881,ref-sifra-340636
ref-m-906163,ref-sifra-346782
ref-m-906163,ref-sifra-346782
ref-m-907781,ref-t-1382462
ref-m-907781,ref-t-1382462
ref-m-908218,ref-t-1383343
ref-m-908432,ref-sifra-362974
ref-m-908649,ref-sifra-363470
ref-m-910594,ref-sifra-391811
ref-m-910730,ref-sifra-391948
ref-m-911161,ref-bible-220956
ref-m-911346,ref-sifra-384090
ref-m-911346,ref-sifra-384090
ref-m-911806,ref-bible-221230
ref-m-911891,ref-bible-221230
ref-m-912672,ref-sifra-391287
ref-m-913810,ref-t-1390179
ref-m-913997,ref-sifra-356179
ref-m-914318,ref-b-223080
ref-m-914318,ref-b-938912
ref-m-914318,ref-b-1973887
ref-m-914318,ref-b-7701933
ref-m-914318,ref-b-7701933
ref-m-914542,ref-sifra-393594
ref-m-915120,ref-t-1392184
ref-m-915400,ref-t-617626
ref-m-916910,ref-sifra-376953
ref-m-917155,ref-sifra-377933
ref-m-917554,ref-b-6825641
ref-m-917554,ref-sifra-378054
ref-m-918351,ref-sifre-n-206032
ref-m-920105,ref-t-1402214
ref-m-920269,ref-y-1311101
ref-m-921329,ref-t-1403501
ref-m-921329,ref-b-2013463
ref-m-921329,ref-b-7113654
ref-m-922526,ref-b-1805006
ref-m-922526,ref-sifre-n-208779
ref-m-925124,ref-y-1982098
ref-m-925124,ref-y-1982098
ref-m-925889,ref-t-1412048
ref-m-928053,ref-t-1416608
ref-m-928053,ref-t-1416608
ref-m-930630,ref-b-728847
ref-m-930630,ref-b-728847
ref-m-934320,ref-b-7511042
ref-m-935431,ref-t-1425267
ref-m-936893,ref-t-1427337
ref-m-937970,ref-t-1428317
ref-m-937970,ref-t-1428317
ref-m-940333,ref-b-6901932
ref-m-940333,ref-b-6901932
ref-m-942151,ref-y-2299284
ref-m-943733,ref-b-7309513
ref-m-945349,ref-b-399121
ref-m-945349,ref-y-1236492
ref-m-945349,ref-b-399121
ref-m-945349,ref-y-1236492
ref-m-947432,ref-t-967289
ref-m-948366,ref-b-1297769
ref-m-948366,ref-b-3333945
ref-m-948595,ref-b-3333945
ref-m-949990,ref-t-969683
ref-m-950884,ref-b-6735141
ref-m-950884,ref-b-1298234
ref-m-950884,ref-b-1298234
ref-m-952681,ref-y-1966292
ref-m-953821,ref-t-1504247
ref-m-958947,ref-t-1512288
ref-m-961462,ref-b-1050325
ref-m-964899,ref-b-401514
ref-m-966840,ref-b-728847
ref-m-966840,ref-b-728847
ref-m-968980,ref-t-1470531
ref-m-970994,ref-b-6429899
ref-m-970994,ref-b-7556248
ref-m-971427,ref-b-2826329
ref-m-974331,ref-b-748605
ref-m-974331,ref-t-1475047
ref-m-976694,ref-b-397660
ref-m-981103,ref-b-6268689
ref-m-981514,ref-b-8639612
ref-m-982865,ref-b-6152508
ref-m-982905,ref-b-6205337
ref-m-983286,ref-b-8661738
ref-m-983834,ref-b-3109487
ref-m-983834,ref-b-3163320
ref-m-985370,ref-b-8682155
ref-m-986662,ref-b-4800445
ref-m-990320,ref-t-1453124
ref-m-991784,ref-b-8523066
ref-m-991784,ref-sifra-410029
ref-m-992201,ref-t-1456208
ref-m-996489,ref-t-52920
ref-m-999974,ref-t-1516560
ref-m-999974,ref-b-2825532
ref-m-999974,ref-t-1516560
ref-m-1000313,ref-t-1516744
ref-m-1000313,ref-t-1516744
ref-m-1003939,ref-b-872130
ref-m-1003939,ref-b-872130
ref-m-1004906,ref-t-1521897
ref-m-1005057,ref-t-1521897
ref-m-1006151,ref-y-3389
ref-m-1008745,ref-t-1528045
ref-m-1009729,ref-t-1529077
ref-m-1009940,ref-t-1526610
ref-m-1010150,ref-b-670648
ref-m-1010722,ref-sifra-404251
ref-m-1012124,ref-t-1530414
ref-m-1013011,ref-b-393977
ref-m-1013011,ref-y-907052
ref-m-1014512,ref-b-7751305
ref-m-1014512,ref-b-7751305
ref-m-1014947,ref-b-1410845
ref-m-1014947,ref-b-3838516
ref-m-1015354,ref-t-1542757
ref-m-1016914,ref-t-1544420
ref-m-1016914,ref-t-1544420
ref-m-1017929,ref-y-2298809
ref-m-1018019,ref-b-8521861
ref-m-1018030,ref-t-1544963
ref-m-1018030,ref-t-1544963
ref-m-1018030,ref-b-8521861
ref-m-1023929,ref-t-1013010
ref-m-1025863,ref-t-1539371
ref-m-1025920,ref-b-146994
ref-m-1025920,ref-t-1539565
ref-m-1028407,ref-sifra-301318
ref-m-1028407,ref-sifra-301602
ref-m-1031682,ref-b-7957357
ref-m-1031682,ref-b-7957357
ref-m-1031682,ref-b-8428204
ref-m-1032130,ref-b-8680379
ref-m-1032130,ref-y-1981829
ref-m-1032130,ref-y-1208993
ref-m-1033062,ref-b-5674839
ref-t-0,ref-b-1462
ref-t-1013,ref-y-18617
ref-t-1013,ref-y-18631
ref-t-1133,ref-sifre-d-47850
ref-t-1766,ref-y-23920
ref-t-2476,ref-y-28191
ref-t-2476,ref-sifre-d-165985
ref-t-2580,ref-mek-65487
ref-t-2785,ref-b-64014
ref-t-2785,ref-y-30529
ref-t-2785,ref-mek-65699
ref-t-2785,ref-mek-64586
ref-t-6873,ref-b-111153
ref-t-8089,ref-y-77903
ref-t-8804,ref-b-379927
ref-t-8804,ref-y-39539
ref-t-9381,ref-b-139543
ref-t-10249,ref-b-165803
ref-t-10439,ref-b-166123
ref-t-10981,ref-b-157742
ref-t-12818,ref-b-2169206
ref-t-13029,ref-b-159665
ref-t-13046,ref-sifre-d-34718
ref-t-13046,ref-sifre-d-34482
ref-t-14062,ref-y-115437
ref-t-14062,ref-y-115437
ref-t-14319,ref-b-164843
ref-t-14326,ref-b-164850
ref-t-14326,ref-y-109307
ref-t-14326,ref-y-109307
ref-t-16138,ref-b-203479
ref-t-16138,ref-y-131879
ref-t-16527,ref-b-228559
ref-t-17944,ref-y-134239
ref-t-18662,ref-b-204785
ref-t-18699,ref-y-133169
ref-t-21666,ref-y-1373893
ref-t-21666,ref-b-1611711
ref-t-21965,ref-b-1616032
ref-t-22228,ref-b-246305
ref-t-22228,ref-y-1807378
ref-t-22241,ref-b-245792
ref-t-22241,ref-b-245792
ref-t-24539,ref-y-133848
ref-t-24539,ref-y-49856
ref-t-24727,ref-b-269782
ref-t-24727,ref-b-1652084
ref-t-24791,ref-b-2117721
ref-t-25199,ref-b-272981
ref-t-25738,ref-b-232568
ref-t-25738,ref-b-232594
ref-t-25738,ref-y-162559
ref-t-25738,ref-y-162559
ref-t-26318,ref-b-1619893
ref-t-26577,ref-b-279283
ref-t-26577,ref-y-164863
ref-t-27204,ref-y-145581
ref-t-27204,ref-y-145581
ref-t-27204,ref-mek-66110
ref-t-27204,ref-b-254883
ref-t-27204,ref-b-254883
ref-t-27571,ref-b-256021
ref-t-27921,ref-y-181252
ref-t-27921,ref-b-311931
ref-t-28472,ref-b-312371
ref-t-28760,ref-b-318061
ref-t-30178,ref-y-191396
ref-t-30800,ref-y-192185
ref-t-30800,ref-b-847389
ref-t-31633,ref-y-193762
ref-t-31679,ref-y-193812
ref-t-31679,ref-b-327610
ref-t-31679,ref-b-327610
ref-t-32729,ref-y-197899
ref-t-34002,ref-y-200429
ref-t-34704,ref-b-4527732
ref-t-34719,ref-y-220439
ref-t-34719,ref-y-220439
ref-t-35647,ref-y-250506
ref-t-35647,ref-b-424427
ref-t-35647,ref-y-250533
ref-t-35647,ref-sifra-487124
ref-t-36058,ref-sifra-487475
ref-t-39436,ref-b-7882583
ref-t-40600,ref-y-259630
ref-t-41673,ref-y-264926
ref-t-42125,ref-y-268044
ref-t-42299,ref-y-266859
ref-t-42299,ref-y-266859
ref-t-43106,ref-y-270030
ref-t-44657,ref-y-274501
ref-t-46607,ref-b-3326978
ref-t-47741,ref-sifre-d-156152
ref-t-47938,ref-y-289460
ref-t-47906,ref-sifre-d-154618
ref-t-48954,ref-y-321244
ref-t-49178,ref-sifre-d-155529
ref-t-49178,ref-sifre-d-155529
ref-t-49476,ref-b-5540918
ref-t-49476,ref-y-206742
ref-t-50137,ref-y-207417
ref-t-50413,ref-b-5535358
ref-t-56089,ref-b-8017221
ref-t-56634,ref-b-7192484
ref-t-56634,ref-b-7889026
ref-t-56634,ref-sifra-219347
ref-t-57410,ref-b-8017871
